code,case_id,expected_primary_recommendation,archetype
R39A59,case_001,acid_stimulation,acid_stim_candidate
R1DB69,case_002,esp_swap,esp_below_por
RD6AD9,case_003,esp_swap,esp_below_por
R9B601,case_004,gas_separator,esp_gas_interference
R2D9C8,case_005,gas_separator,esp_gas_interference
RA66E3,case_006,scale_treatment,esp_scale
RBCCC6,case_007,monitor,esp_normal
RACEFA,case_008,esp-to-beam_conversion,esp_to_beam_candidate
R47CCA,case_009,pump-off_controller,beam_pump_pumpoff
R6A8D3,case_010,monitor,beam_pump_normal
RBFC23,case_011,workover,beam_pump_parted_rods
R4016C,case_012,gas_lift_optimization,gas_lift_liquid_loading
R4BE78,case_013,monitor,gas_lift_normal
RFFB1E,case_014,paraffin_treatment,plunger_lift_sticking
RBB201,case_015,p&a,low_recovery_p_and_a_candidate
R2DCE5,case_016,scale_treatment,esp_scale_with_gas_distractor
R8E8CF,case_017,scale_treatment,esp_acid_then_swap_sequenced
RD7DB7,case_018,insufficient_data,insufficient_data_well
